run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
1,1,CEV,scram,79,0.45899999999999996,0,36.081999999999994,3019,2896,5989,6294,7141,0,NA,5915
1,2,CEV,scram,48,0.7322857142857142,48,34.80314285714285,1114,8458,9637,9943,10789,0,NA,9572
1,3,CEV,scram,44,0.8064285714285715,44,35.387142857142855,587,11860,12520,12825,13672,0,NA,12447
1,4,CEV,scram,52,0.718,52,37.0,1211,14939,16219,16524,17371,0,NA,16150
1,5,CEV,scram,54,0.6707142857142857,54,36.32928571428571,1540,18590,20200,20506,21352,0,NA,20130
1,6,CEV,scram,53,0.6448571428571428,53,34.42057142857142,1714,22624,24416,24721,25566,0,NA,24338
1,7,CEV,scram,64,0.6067142857142858,0,38.82014285714286,1991,27089,29147,29452,30299,0,NA,29080
1,8,CEV,scram,48,0.8257142857142857,48,39.47714285714286,450,31721,32246,32552,33398,0,NA,32171
1,9,CEV,scram,42,0.7901428571428571,42,33.04928571428571,711,34420,35195,35500,36347,0,NA,35131
1,10,CEV,scram,47,0.7402857142857142,47,34.77914285714285,1051,37870,38994,39299,40146,0,NA,38921
1,11,CEV,scram,55,0.7068571428571429,0,39.12057142857143,1280,41419,42776,43081,43928,0,NA,42699
1,12,CEV,scram,49,0.8222857142857143,49,40.289142857142856,481,45441,45991,46297,47143,0,NA,45922
1,13,CEV,scram,47,0.788,47,37.0,713,48417,49207,49512,50359,0,NA,49130
1,14,CEV,scram,52,0.769,52,40.076,859,51383,52306,52611,53458,0,NA,52242
1,15,CEV,scram,51,0.7617142857142857,51,38.52342857142857,910,54532,55506,55811,56658,0,NA,55442
1,16,CEV,scram,46,0.7501428571428571,0,34.74957142857143,990,57932,58987,59292,60139,0,NA,58922
1,17,CEV,scram,45,0.8142857142857143,45,37.0,539,61264,61869,62174,63021,0,NA,61803
1,18,CEV,scram,49,0.843,0,41.214999999999996,337,64397,64801,65107,65952,0,NA,64734
1,19,CEV,scram,96,0.40028571428571424,0,38.601142857142854,3446,67479,70983,71288,72135,0,NA,70925
1,20,CEV,scram,48,0.774,48,37.0,826,73611,74498,74803,75650,0,NA,74437
1,21,CEV,scram,49,0.8025714285714286,49,39.407714285714285,614,77126,77814,78119,78966,0,NA,77740
1,22,CEV,scram,49,0.7765714285714286,49,37.77657142857143,794,79993,80862,81168,82015,0,NA,80787
1,23,CEV,scram,47,0.7837142857142857,47,37.0,745,83042,83861,84167,85013,0,NA,83787
1,24,CEV,scram,46,0.7821428571428571,46,36.21785714285714,760,86230,87060,87366,88212,0,NA,86990
1,25,CEV,scram,47,0.8218571428571428,47,38.64371428571428,477,89440,89993,90298,91145,0,NA,89917
1,26,CEV,scram,49,0.7932857142857143,49,38.586571428571425,680,92523,93275,93580,94427,0,NA,93203
1,27,CEV,scram,52,0.7552857142857143,52,39.26585714285714,951,95555,96574,96879,97726,0,NA,96506
1,28,CEV,scram,48,0.7434285714285714,48,35.51314285714286,1039,99004,100106,100411,101258,0,NA,100043
1,29,CEV,scram,50,0.784,50,39.352000000000004,741,102537,103355,103660,104507,0,NA,103278
1,30,CEV,scram,44,0.8197142857142857,44,36.180285714285716,494,105536,106104,106409,107256,0,NA,106030
1,31,CEV,scram,44,0.7484285714285714,44,33.25785714285714,996,108635,109702,110008,110854,0,NA,109631
1,32,CEV,scram,51,0.7151428571428571,51,36.28485714285714,1221,112235,113534,113840,114687,0,NA,113456
1,33,CEV,scram,56,0.6984285714285714,56,39.095285714285716,1342,115767,117183,117489,118335,0,NA,117109
