run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
5,253,IEV,scram,74,0.5859116540716459,0,43.51716453819302,2923,4020,7013,7318,8165,0,NA,6943
5,254,IEV,scram,26,0.8672408656409866,26,22.172757246554745,954,9273,10295,10600,11447,0,NA,10227
5,255,IEV,scram,33,0.807109851087117,33,26.46985413986937,1584,12905,14561,14866,15713,0,NA,14489
5,256,IEV,scram,49,0.6961537228882235,49,34.410139844635154,2328,17071,19475,19781,20627,0,NA,19399
5,257,IEV,scram,105,0.4844484543192675,105,51.10724060389819,3412,21736,25223,25529,26375,0,NA,25148
5,258,IEV,scram,126,0.41847133904191103,0,52.727827633084004,3731,27684,31488,31793,32640,0,NA,31415
5,259,IEV,scram,94,0.5226680076652747,0,48.958905088810695,3228,34049,37353,37658,38504,0,NA,37277
5,260,IEV,scram,78,0.5738973616167643,0,44.76216716503019,2971,39965,43017,43322,44169,0,NA,42936
5,261,IEV,scram,56,0.6639351643470864,56,37.39662525989829,2511,45730,48315,48620,49467,0,NA,48241
5,262,IEV,scram,36,0.7818435180379211,36,28.08503969675549,1770,50628,52480,52786,53632,0,NA,52398
5,263,IEV,scram,107,0.45353480138981817,0,48.68453108497398,3557,55043,58678,58984,59830,0,NA,58600
5,264,IEV,scram,27,0.8264486040808632,27,21.996585038195423,1414,61191,62677,62982,63829,0,NA,62605
5,265,IEV,scram,24,0.8651346850791276,24,20.72323277729037,983,65340,66392,66697,67544,0,NA,66323
5,266,IEV,scram,83,0.5607684267453561,0,46.58504303533385,3046,69056,72174,72479,73326,0,NA,72102
5,267,IEV,scram,113,0.4537437969221746,0,51.397493927067266,3565,74588,78222,78527,79374,0,NA,78153
5,268,IEV,scram,50,0.7109825344396011,0,35.41783093705237,2237,80936,83253,83558,84405,0,NA,83173
5,269,IEV,scram,30,0.8266622336882887,30,24.452978453702848,1400,85668,87152,87457,88304,0,NA,87068
5,270,IEV,scram,24,0.8878836939166674,24,21.728105717534834,559,89878,90517,90822,91669,0,NA,90437
5,271,IEV,scram,31,0.8301401145136438,31,25.736419890139548,1382,92982,94432,94738,95584,0,NA,94364
5,272,IEV,scram,120,0.42993448851854327,0,51.44910173015317,3676,97048,100797,101102,101949,0,NA,100724
5,273,IEV,scram,84,0.5579264844721046,0,46.728618091861684,3055,103564,106695,107000,107847,0,NA,106619
5,274,IEV,scram,49,0.6942471773825654,0,33.85787904433963,2339,109011,111427,111732,112578,0,NA,111350
