run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
8,442,DEV,scram,73,0.5768141367939622,73,42.221204039429146,1228,3377,4710,5009,5859,0,NA,4605
8,443,DEV,scram,76,0.5833388877796245,76,44.35067499521715,1217,7042,8358,8658,9508,0,NA,8259
8,444,DEV,scram,82,0.5159314506241595,82,42.18315118570195,1585,10841,12524,12825,13673,0,NA,12426
8,445,DEV,scram,81,0.5764332828105735,0,46.81044691942703,1240,14939,16289,16589,17438,0,NA,16179
8,446,DEV,scram,76,0.6242684411231468,76,47.42003848292668,998,18821,19921,20221,21070,0,NA,19819
8,447,DEV,scram,75,0.7425843479613841,75,55.39730628269569,490,22254,22853,23153,24003,0,NA,22744
8,448,DEV,scram,74,0.5218371110527156,74,38.41187240090489,1546,25402,27052,27351,28201,0,NA,26948
8,449,DEV,scram,76,0.444266463489995,76,33.612724085606494,2073,29384,31567,31867,32716,0,NA,31457
8,450,DEV,scram,85,0.44212952778166525,0,37.45622376681199,2097,34049,36249,36548,37398,0,NA,36146
8,451,DEV,scram,74,0.6838730965842361,74,50.836912957035636,730,39081,39914,40214,41063,0,NA,39811
8,452,DEV,scram,71,0.7400923002019549,71,52.3083115660926,503,42446,43046,43346,44196,0,NA,42949
8,453,DEV,scram,77,0.6827169770990569,77,52.821381817325715,733,45579,46412,46711,47561,0,NA,46312
8,454,DEV,scram,79,0.5286882475864031,79,41.99513338237459,1507,49128,50744,51043,51893,0,NA,50635
8,455,DEV,scram,74,0.5343001065968241,74,39.692384585768515,1483,53309,54892,55192,56041,0,NA,54792
8,456,DEV,scram,73,0.5473803704946919,73,39.93305732887444,1400,57475,58974,59274,60123,0,NA,58875
8,457,DEV,scram,76,0.5976685703697258,76,45.218368548219246,1137,61706,62939,63241,64088,0,NA,62843
8,458,DEV,scram,77,0.5303795984449957,0,41.04567274867177,1504,65372,66971,67271,68120,0,NA,66876
8,459,DEV,scram,79,0.6221733074692082,0,49.16186045073987,1022,69454,70570,70870,71719,0,NA,70476
8,460,DEV,scram,81,0.5796810055781327,81,47.02567575357928,1227,73186,74519,74820,75668,0,NA,74413
8,461,DEV,scram,73,0.5878065093160902,0,42.859071337971514,1176,77201,78484,78783,79633,0,NA,78377
8,462,DEV,scram,79,0.6048962616248761,79,48.070949349153956,1101,81166,82366,82665,83515,0,NA,82267
8,463,DEV,scram,74,0.49030640904399725,74,36.49189524591368,1738,84748,86598,86897,87747,0,NA,86486
8,464,DEV,scram,72,0.5482685717505238,0,39.43709953649818,1390,89080,90580,90879,91729,0,NA,90470
8,465,DEV,scram,78,0.6192537982104036,0,48.359605249792274,1024,93262,94395,94695,95544,0,NA,94286
8,466,DEV,scram,77,0.48275583931406607,77,36.991152656907104,1788,96827,98727,99026,99876,0,NA,98615
8,467,DEV,scram,82,0.4078941722161755,0,33.31971729496264,2389,101409,103908,104210,105057,0,NA,103798
8,468,DEV,scram,80,0.6387305427952312,80,50.82768100972423,927,106441,107474,107775,108623,0,NA,107368
8,469,DEV,scram,80,0.5791061544021188,0,46.4085172063537,1223,109906,111239,111539,112388,0,NA,111129
8,470,DEV,scram,80,0.6331567024400871,80,50.47842281739171,971,113821,114888,115187,116037,0,NA,114792
8,471,DEV,scram,78,0.667864553517299,78,51.94906765566781,799,117720,118620,118919,119769,0,NA,118519
8,472,DEV,scram,77,0.7007343054761267,77,53.85498093511339,656,121102,121869,122168,123018,0,NA,121758
8,473,DEV,scram,79,0.6122301140552606,0,48.53634217309309,1068,124501,125667,125967,126817,0,NA,125569
8,474,DEV,scram,75,0.65467085041654,75,49.1957181875086,859,128450,129416,129716,130565,0,NA,129309
8,475,DEV,scram,76,0.5887834794178396,76,44.68177660460134,1178,132248,133531,133833,134680,0,NA,133426
8,476,DEV,scram,76,0.6629126476822945,76,50.328537477086584,835,135964,136897,137198,138046,0,NA,136799
8,477,DEV,scram,71,0.6667357686521254,71,47.21490608845411,803,139679,140595,140895,141745,0,NA,140482
8,478,DEV,scram,75,0.6665102479943377,75,49.86912566532185,817,143428,144344,144644,145493,0,NA,144245
8,479,DEV,scram,70,0.6571097568954322,0,46.04975447938724,852,146827,147776,148078,148925,0,NA,147679
8,480,DEV,scram,77,0.6744502373236635,77,51.663589425064714,779,150359,151242,151541,152391,0,NA,151138
