run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
7,379,IEV,fear,20,0.8724417168307231,20,17.09412700005997,816,3818,4751,5051,5901,0,NA,4634
7,380,IEV,fear,19,0.8976939044701348,0,17.195102286022117,170,7300,7584,7883,8733,0,NA,7470
7,381,IEV,fear,44,0.7489639305347296,44,33.21273999615747,1955,10183,12265,12565,13415,0,NA,12138
7,382,IEV,fear,83,0.5550798218147035,0,46.31644953294191,3021,14565,17713,18013,18863,0,NA,17586
7,383,IEV,fear,24,0.8620638075070759,24,20.267968170938317,983,20163,21262,21562,22411,0,NA,21146
7,384,IEV,fear,21,0.8568682320913061,21,18.369588583411183,1038,23561,24728,25027,25877,0,NA,24599
7,385,IEV,fear,26,0.854008390495842,26,22.153911726737263,1079,27177,28376,28676,29526,0,NA,28256
7,386,IEV,fear,28,0.8594729638615,28,24.04423821843557,1016,30875,32008,32308,33158,0,NA,31891
7,387,IEV,fear,39,0.7492685068056127,39,29.44181856752974,1967,34807,36890,37190,38039,0,NA,36774
7,388,IEV,fear,72,0.5823185897085242,72,41.97266922103557,2892,39239,42255,42554,43404,0,NA,42131
7,389,IEV,fear,75,0.5625928333740137,75,41.991654965075,2993,45004,48119,48419,49269,0,NA,47997
7,390,IEV,fear,21,0.8631769593447871,21,18.394183661854985,966,50868,51951,52251,53101,0,NA,51834
7,391,IEV,fear,39,0.761953552693194,39,29.85980876982072,1888,54750,56750,57049,57899,0,NA,56638
7,392,IEV,fear,80,0.5660333297735796,80,45.18460070786476,2978,59149,62248,62547,63397,0,NA,62127
7,393,IEV,fear,44,0.7570894343054622,0,33.30693616049848,1915,64547,66580,66879,67729,0,NA,66462
7,394,IEV,fear,40,0.7648634938382521,40,30.371407339603376,1870,69129,71111,71411,72261,0,NA,70999
7,395,IEV,fear,43,0.7423489353807371,0,32.25686544610138,2009,73660,75793,76093,76942,0,NA,75669
7,396,IEV,fear,19,0.8891510549483267,19,17.065051789291623,470,78309,78909,79208,80058,0,NA,78779
7,397,IEV,fear,20,0.8723161894420245,20,17.1124673050105,824,81558,82507,82807,83657,0,NA,82382
7,398,IEV,fear,70,0.602935038007099,70,41.934233213360955,2789,85056,87972,88272,89121,0,NA,87845
7,399,IEV,fear,22,0.8783711573554435,22,19.71400300898632,729,90321,91171,91471,92320,0,NA,91050
7,400,IEV,fear,23,0.8784805252712957,23,20.57589281815789,720,93687,94520,94819,95669,0,NA,94407
