run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
4,190,DEV,fear,71,0.634010660300366,71,44.82597472873522,919,3239,4288,4588,5438,0,NA,4158
4,191,DEV,fear,78,0.6061112034456498,78,47.54216795611779,1081,7021,8220,8520,9370,0,NA,8102
4,192,DEV,fear,76,0.45629790854188534,76,34.829583356424045,1987,10853,12952,13251,14101,0,NA,12840
4,193,DEV,fear,74,0.7463357035347566,74,55.58966360943767,467,15584,16168,16467,17317,0,NA,16051
4,194,DEV,fear,74,0.6411051276818822,74,47.129187390743986,908,18500,19533,19833,20682,0,NA,19408
4,195,DEV,fear,83,0.34503542836804724,0,28.50430195197864,3057,21815,24998,25297,26147,0,NA,24872
4,196,DEV,fear,76,0.7177457341562223,76,54.80433066142259,589,27580,28280,28579,29429,0,NA,28169
4,197,DEV,fear,70,0.7057264981618132,0,49.19625444377145,630,30812,31562,31862,32711,0,NA,31442
4,198,DEV,fear,77,0.6236390467536344,77,48.00624769112894,987,33945,35061,35360,36210,0,NA,34932
4,199,DEV,fear,77,0.6450118174254116,77,49.92864716809291,902,37393,38410,38709,39559,0,NA,38295
4,200,DEV,fear,79,0.6380846215184458,79,50.149232843418424,940,40792,41842,42141,42991,0,NA,41732
4,201,DEV,fear,73,0.5646042690493758,73,40.94013406591804,1298,44374,45791,46090,46940,0,NA,45672
4,202,DEV,fear,76,0.5236620898165455,0,39.56893044873922,1505,48390,50022,50322,51172,0,NA,49895
4,203,DEV,fear,81,0.5804486230664497,81,47.07645912126178,1188,52471,53788,54087,54937,0,NA,53659
4,204,DEV,fear,69,0.6575542285729898,0,45.4153684615875,826,56153,57103,57403,58252,0,NA,56979
4,205,DEV,fear,68,0.7769072958113195,68,53.2123605704266,332,59652,60102,60402,61251,0,NA,59984
4,206,DEV,fear,76,0.5681374971510796,0,43.417319801658294,1267,62701,64084,64384,65233,0,NA,63968
4,207,DEV,fear,83,0.41070799686069515,83,33.92669855501438,2345,66333,68799,69099,69948,0,NA,68678
4,208,DEV,fear,82,0.3711572097849464,0,30.357689754563083,2739,71548,74414,74713,75563,0,NA,74287
4,209,DEV,fear,81,0.41081695817827213,0,33.112768046927286,2355,76663,79129,79428,80278,0,NA,79018
4,210,DEV,fear,74,0.739843486608242,74,54.51595842543225,479,81578,82178,82477,83327,0,NA,82057
4,211,DEV,fear,75,0.6244784019038148,75,46.80804054519854,989,84827,85926,86226,87076,0,NA,85816
4,212,DEV,fear,72,0.5942924446343636,0,42.63785900748907,1127,88575,89825,90125,90974,0,NA,89702
4,213,DEV,fear,72,0.6318781936425975,72,45.34298501673003,948,92174,93241,93540,94390,0,NA,93122
4,214,DEV,fear,72,0.642621300255048,72,46.571847544134215,903,95989,97006,97305,98155,0,NA,96892
4,215,DEV,fear,74,0.642621300255048,74,47.85709014464431,903,99705,100721,101021,101871,0,NA,100608
4,216,DEV,fear,75,0.6215463544129802,75,46.63642316050814,987,103370,104487,104786,105636,0,NA,104357
4,217,DEV,fear,76,0.6215463544129802,0,47.257969514921115,998,107136,108252,108551,109401,0,NA,108134
4,218,DEV,fear,76,0.6649338111105306,76,50.44500974391404,794,110851,111767,112067,112917,0,NA,111645
4,219,DEV,fear,77,0.6067197799749994,0,46.97354048908179,1061,114200,115383,115682,116532,0,NA,115261
4,220,DEV,fear,77,0.5751028785267469,0,44.42169733930295,1234,117998,119348,119647,120497,0,NA,119232
