run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
8,442,DEV,scram,67,0.7849623956801829,67,52.76498716760429,311,1934,2351,2651,3500,0,NA,2245
8,443,DEV,scram,74,0.6753637773366319,74,49.69026947813375,762,4733,5600,5899,6749,0,NA,5495
8,444,DEV,scram,80,0.5808329243741055,80,46.5210378862405,1212,8082,9399,9698,10548,0,NA,9294
8,445,DEV,scram,82,0.5412197001884196,0,44.44009757737687,1426,11831,13364,13663,14513,0,NA,13257
8,446,DEV,scram,80,0.4873221768427334,0,38.74451643875432,1759,15896,17762,18062,18912,0,NA,17655
8,447,DEV,scram,83,0.4276893028964568,83,35.54961286368573,2214,20145,22461,22760,23610,0,NA,22359
8,448,DEV,scram,76,0.424071770921018,76,32.32377203976792,2237,24993,27342,27642,28492,0,NA,27230
8,449,DEV,scram,78,0.3727925611424625,0,28.981413165154542,2741,29675,32524,32823,33673,0,NA,32416
8,450,DEV,scram,88,0.3454433870198892,0,30.260756621221415,3055,35006,38172,38471,39321,0,NA,38061
8,451,DEV,scram,85,0.31156823327665073,0,26.377070879917966,3499,41004,44603,44902,45752,0,NA,44503
8,452,DEV,scram,83,0.28696158055461723,0,23.92480139130028,3820,47135,51051,51350,52200,0,NA,50955
8,453,DEV,scram,73,0.817526677715967,73,59.72648204195452,191,53583,53883,54183,55032,0,NA,53774
8,454,DEV,scram,72,0.8015236042817093,72,57.42223797628423,258,56599,56965,57265,58114,0,NA,56857
8,455,DEV,scram,69,0.7309338913878045,69,50.40474231713811,517,59598,60231,60530,61380,0,NA,60115
8,456,DEV,scram,70,0.67673642993157,70,47.05837224610084,760,62813,63680,63979,64829,0,NA,63573
8,457,DEV,scram,76,0.6034825568887859,76,45.56692353190267,1104,66395,67612,67928,68761,0,NA,67499
8,458,DEV,scram,77,0.5607334867495675,0,42.95810857466776,1326,70061,71494,71793,72643,0,NA,71387
8,459,DEV,scram,82,0.5182159273607692,0,42.3393979448762,1578,73959,75642,75942,76791,0,NA,75537
8,460,DEV,scram,84,0.47854871580371017,84,40.07174468910801,1831,78324,80257,80557,81406,0,NA,80155
8,461,DEV,scram,76,0.47854871580371017,0,36.24335496267833,1831,82939,84872,85172,86021,0,NA,84770
8,462,DEV,scram,84,0.43256390498545905,84,36.328167542510236,2170,87554,89837,90137,90986,0,NA,89724
8,463,DEV,scram,76,0.4285142288488015,76,32.60862737997513,2214,92219,94535,94835,95685,0,NA,94433
8,464,DEV,scram,75,0.4426306330609361,0,33.066256269853355,2099,97018,99217,99517,100366,0,NA,99117
8,465,DEV,scram,85,0.37034403652278425,0,31.4115459001001,2774,101899,104782,105081,105931,0,NA,104673
8,466,DEV,scram,68,0.7920290538943918,68,53.83893515157493,289,107214,107614,107914,108763,0,NA,107503
8,467,DEV,scram,70,0.8145763729189145,70,57.1565027108531,206,110296,110613,110913,111762,0,NA,110502
8,468,DEV,scram,76,0.7748388395419764,76,58.54818088508126,360,113145,113612,113912,114761,0,NA,113505
