run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
7,379,IEV,fear,15,0.8962529325585007,15,13.012770963395248,234,3284,3634,3933,4783,0,NA,3518
7,380,IEV,fear,24,0.8754771169426917,0,21.02101402969657,799,6183,7082,7382,8231,0,NA,6982
7,381,IEV,fear,33,0.8182033891236116,33,26.981950737018828,1460,9731,11297,11597,12447,0,NA,11191
7,382,IEV,fear,44,0.7545534808815262,0,33.5129083900924,1941,13580,15629,15929,16778,0,NA,15521
7,383,IEV,fear,53,0.6897133546753618,53,36.266819369831666,2345,18078,20528,20827,21677,0,NA,20423
7,384,IEV,fear,65,0.6088138072000866,65,39.75536424223762,2785,22827,25709,26009,26858,0,NA,25612
7,385,IEV,fear,80,0.5595510382638041,0,44.96800290518422,3033,28158,31290,31590,32440,0,NA,31191
7,386,IEV,fear,67,0.6369295516065261,67,42.38394170153851,2627,33840,36572,36871,37721,0,NA,36467
7,387,IEV,fear,62,0.6256712083629914,0,38.67035221807821,2691,39371,42170,42470,43319,0,NA,42062
7,388,IEV,fear,94,0.49715813235671047,94,46.60617057457583,3331,44469,47901,48201,49050,0,NA,47800
7,389,IEV,fear,105,0.45604278387318836,105,47.658156686496525,3526,50650,54282,54582,55432,0,NA,54176
7,390,IEV,fear,118,0.42388752405817587,118,49.988209442000695,3678,57081,60863,61163,62013,0,NA,60759
7,391,IEV,fear,128,0.40060170839412973,128,51.35205128480931,3800,63662,67561,67861,68710,0,NA,67462
7,392,IEV,fear,136,0.3902525993790913,136,52.923547955285464,3830,69977,73909,74208,75058,0,NA,73807
7,393,IEV,fear,138,0.3873611213333904,0,53.41233389501003,3843,76225,80173,80473,81323,0,NA,80068
7,394,IEV,fear,20,0.8794509173701781,20,17.79034964122084,707,82739,83555,83855,84705,0,NA,83446
7,395,IEV,fear,39,0.772152270781448,0,29.734968662202178,1808,86121,88037,88337,89186,0,NA,87929
7,396,IEV,fear,97,0.495076675296223,97,48.194971605746794,3324,90553,93985,94285,95134,0,NA,93877
7,397,IEV,fear,107,0.45332580661027266,107,48.69402663030945,3518,96701,100333,100632,101482,0,NA,100219
7,398,IEV,fear,119,0.425346611384923,119,50.77677476871113,3654,102899,106664,106964,107813,0,NA,106553
7,399,IEV,fear,128,0.4084879815113719,128,52.265124829541755,3738,109030,112879,113178,114028,0,NA,112768
7,400,IEV,fear,138,0.3867419002758418,138,53.433329420339454,3854,115328,119293,119592,120442,0,NA,119182
7,401,IEV,fear,129,0.40516542461847393,0,52.38751098710775,3761,122109,125974,126273,127123,0,NA,125870
7,402,IEV,fear,20,0.897029810974046,20,18.230577869194914,218,128290,128606,128906,129756,0,NA,128508
7,403,IEV,fear,88,0.5160501089447245,88,45.645571721586975,3219,131272,134604,134904,135753,0,NA,134491
7,404,IEV,fear,113,0.4604317667233493,0,52.052176713083725,3503,137370,140969,141268,142118,0,NA,140873
7,405,IEV,fear,101,0.4957012080543286,101,50.14862086337387,3328,143684,147117,147416,148266,0,NA,147012
7,406,IEV,fear,104,0.4641934807236537,104,48.194467384120514,3478,149882,153464,153764,154613,0,NA,153360
7,407,IEV,fear,116,0.4428780734372209,0,51.37755781255663,3581,156130,159812,160112,160961,0,NA,159711
7,408,IEV,fear,90,0.5370870861320107,0,48.29127047520031,3123,162228,165460,165760,166609,0,NA,165351
7,409,IEV,fear,61,0.636170955121838,61,38.612322207016334,2624,167976,170708,171008,171857,0,NA,170600
7,410,IEV,fear,131,0.3919061574763216,131,51.29755541997701,3821,173474,177406,177705,178555,0,NA,177295
7,411,IEV,fear,137,0.38983935416406235,137,53.327932613021105,3850,180222,184170,184470,185319,0,NA,184072
7,412,IEV,fear,138,0.3850913177359063,138,53.1040211258901,3857,186486,190451,190751,191601,0,NA,190343
7,413,IEV,fear,135,0.3912859657056009,0,52.88710301146546,3826,192767,196699,196999,197848,0,NA,196593
7,414,IEV,fear,89,0.5409854976588481,89,48.10692651740673,3114,199215,202430,202730,203580,0,NA,202329
7,415,IEV,fear,98,0.48903559610613273,98,47.985886807408654,3367,205046,208512,208811,209661,0,NA,208413
7,416,IEV,fear,101,0.46858143778041994,0,47.52082411790917,3464,210927,214493,214792,215642,0,NA,214391
7,417,IEV,fear,124,0.41306092753345314,0,51.26879217890102,3715,217109,220941,221240,222090,0,NA,220824
7,418,IEV,fear,136,0.378293439304205,0,51.44630140429019,3896,223606,227605,227905,228754,0,NA,227502
7,419,IEV,fear,16,0.897678006178752,16,14.505386928335385,176,230121,230404,230704,231553,0,NA,230297
7,420,IEV,fear,78,0.5479434116518317,78,42.84230930633445,3078,232770,235952,236252,237101,0,NA,235848
7,421,IEV,fear,90,0.5212216414366745,0,46.93976519763167,3204,238551,241867,242166,243016,0,NA,241755
7,422,IEV,fear,103,0.4827796085597208,0,49.72645218772242,3405,244282,247781,248081,248930,0,NA,247687
7,423,IEV,fear,83,0.5381136625566572,0,44.47609076947151,3118,250147,253379,253679,254528,0,NA,253265
7,424,IEV,fear,132,0.3859164857412816,0,50.759842818444035,3860,255745,259710,260010,260860,0,NA,259605
7,425,IEV,fear,30,0.8216666035965888,30,24.984049497600818,1432,262026,263559,263859,264708,0,NA,263458
7,426,IEV,fear,58,0.6863761108856943,0,39.936695338218016,2367,266325,268791,269090,269940,0,NA,268692
7,427,IEV,fear,108,0.476309431330959,0,51.434007451573535,3427,271206,274738,275038,275888,0,NA,274633
7,428,IEV,fear,135,0.3879804783972566,0,52.227355007186084,3853,277154,281103,281402,282252,0,NA,281007
7,429,IEV,fear,79,0.5656289518926974,79,44.64050411514189,3000,283869,286967,287267,288117,0,NA,286869
7,430,IEV,fear,85,0.5350325152508228,85,45.712601119396936,3146,289483,292732,293032,293881,0,NA,292629
7,431,IEV,fear,96,0.5006944283287305,96,47.93126634926005,3312,295548,298963,299263,300112,0,NA,298860
7,432,IEV,fear,97,0.48340547205278894,97,46.798841757533985,3389,301679,305178,305477,306327,0,NA,305068
7,433,IEV,fear,107,0.4520718563999507,0,48.29883568176327,3539,307993,311642,311942,312791,0,NA,311532
7,434,IEV,fear,135,0.38323560508174315,0,51.6353336669584,3880,314458,318440,318739,319589,0,NA,318338
7,435,IEV,fear,15,0.8975157759147656,15,13.6422234539625,195,320856,321156,321455,322305,0,NA,321051
7,436,IEV,fear,51,0.7237220659804767,51,36.62945255906358,2140,323821,326070,326370,327220,0,NA,325961
7,437,IEV,fear,84,0.5420102130328659,84,45.34814621230231,3103,328736,331952,332251,333101,0,NA,331839
