run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
3,127,CEVR,scram,148,0.2508717551336691,0,37.250871755133666,1010,3464,4597,4896,5746,0,NA,4474
3,128,CEVR,scram,107,0.33205128205128204,107,35.67179487179487,2274,6846,9245,9545,10394,0,NA,9120
3,129,CEVR,scram,111,0.34223044397463,0,38.026691331923885,2389,11844,14360,14659,15509,0,NA,14233
3,130,CEVR,scram,140,0.25812238389475783,0,36.225632848315726,1158,16759,18042,18341,19191,0,NA,17917
3,131,CEVR,scram,120,0.313180169286578,120,37.62636033857316,2045,20541,22707,23006,23856,0,NA,22586
3,132,CEVR,scram,98,0.361328125,0,35.5546875,2584,25056,27772,28071,28921,0,NA,27640
3,133,CEVR,scram,130,0.2898388540734109,0,37.579677708146825,1714,30471,32304,32603,33453,0,NA,32185
3,134,CEVR,scram,109,0.3290978398983481,0,36.01270648030495,2245,34503,36869,37168,38018,0,NA,36748
3,135,CEVR,scram,137,0.2725741949063355,0,37.27257419490633,1421,39268,40817,41117,41966,0,NA,40689
3,136,CEVR,scram,117,0.32094175960346966,117,37.641883519206935,2142,43516,45782,46082,46931,0,NA,45658
3,137,CEVR,scram,102,0.346627408993576,102,35.26686295503212,2435,48331,50897,51197,52046,0,NA,50766
3,138,CEVR,scram,109,0.34514925373134325,109,37.690298507462686,2429,53246,55795,56095,56945,0,NA,55675
3,139,CEVR,scram,108,0.3317960543171919,108,35.672815782731234,2275,58244,60644,60943,61793,0,NA,60519
3,140,CEVR,scram,108,0.35132935431361906,0,38.05398806294085,2486,63043,65659,65958,66808,0,NA,65529
3,141,CEVR,scram,129,0.2813382576580491,0,36.15598522702585,1581,67858,69557,69857,70706,0,NA,69439
3,142,CEVR,scram,109,0.3331618214561358,0,36.333676357087725,2285,72256,74672,74988,75821,0,NA,74541
3,143,CEVR,scram,119,0.305640783573283,119,36.38871843285343,1947,77371,79437,79737,80586,0,NA,79318
