run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
6,316,DEV,happy,74,0.6198780630687115,74,45.91864577252314,1004,3931,5048,5347,6197,0,NA,4935
6,317,DEV,happy,81,0.5488024667760537,0,44.40721224663713,1381,7480,8980,9279,10129,0,NA,8861
6,318,DEV,happy,75,0.46287509054704534,0,34.786674643402186,1929,11562,13611,13911,14761,0,NA,13491
6,319,DEV,happy,80,0.3766564617425501,0,29.990257807007556,2689,16094,18910,19209,20059,0,NA,18783
6,320,DEV,happy,70,0.6705816610845576,70,46.745309896643676,782,21492,22392,22691,23541,0,NA,22274
6,321,DEV,happy,74,0.6482872654771916,74,48.18000888069373,874,24824,25824,26123,26973,0,NA,25698
6,322,DEV,happy,79,0.6116149101342007,79,48.49743218127535,1037,28423,29589,29889,30738,0,NA,29460
6,323,DEV,happy,75,0.6374394263132342,0,47.5597732115545,935,31872,32921,33221,34070,0,NA,32807
6,324,DEV,happy,77,0.6200863143473266,77,47.790927062831685,1014,35454,36587,36886,37736,0,NA,36468
6,325,DEV,happy,74,0.6376544106879443,0,46.93449108335382,924,39069,40119,40418,41268,0,NA,39993
6,326,DEV,happy,75,0.6030793787196662,0,44.93973973231816,1099,42601,43817,44117,44967,0,NA,43700
6,327,DEV,happy,73,0.7548972588823442,73,55.26793408539942,424,46200,46750,47049,47899,0,NA,46624
6,328,DEV,happy,76,0.7383521024035073,76,55.91682044969861,492,48982,49599,49898,50748,0,NA,49474
6,329,DEV,happy,74,0.746586358455542,74,55.60246155659144,470,51881,52464,52764,53614,0,NA,52351
6,330,DEV,happy,75,0.7343876691941489,75,54.97175923388248,514,54747,55380,55680,56529,0,NA,55261
6,331,DEV,happy,76,0.722118061044084,0,55.04392593692389,555,57862,58546,58845,59695,0,NA,58417
6,332,DEV,happy,68,0.7343876691941489,68,49.83104554952344,515,61228,61861,62161,63010,0,NA,61743
6,333,DEV,happy,67,0.7468370837608601,67,50.3873965930131,461,64394,64977,65276,66126,0,NA,64855
6,334,DEV,happy,73,0.6866556687407984,73,50.3030724976126,715,67359,68192,68492,69341,0,NA,68074
6,335,DEV,happy,76,0.702394669947771,0,53.246413045262585,626,70891,71641,71941,72790,0,NA,71517
6,336,DEV,happy,76,0.714361580855413,76,54.61762240762032,580,74190,74890,75189,76039,0,NA,74770
6,337,DEV,happy,71,0.714361580855413,0,51.04581450334325,575,77239,77939,78238,79088,0,NA,77814
6,338,DEV,happy,68,0.7223616669023964,68,49.27832698089849,541,80438,81104,81404,82254,0,NA,80979
6,339,DEV,happy,71,0.6829480461572757,0,48.7371234833173,704,83603,84437,84736,85586,0,NA,84307
6,340,DEV,happy,72,0.7480917649096822,72,54.18299533471204,438,86736,87302,87602,88451,0,NA,87174
6,341,DEV,happy,75,0.7559097917938122,75,56.82942063819896,412,89851,90384,90684,91534,0,NA,90263
6,342,DEV,happy,72,0.768402426614535,72,55.15206921383698,371,93033,93517,93816,94666,0,NA,93404
6,343,DEV,happy,68,0.6948347830631422,68,47.266111268683765,661,95866,96649,96948,97798,0,NA,96527
6,344,DEV,happy,74,0.6604510373656395,74,48.86536070847761,808,99148,100081,100381,101230,0,NA,99956
6,345,DEV,happy,70,0.6531238369698659,70,45.841331009929405,852,102630,103597,103896,104746,0,NA,103482
6,346,DEV,happy,70,0.6871205112012504,70,48.26671145538024,696,105846,106662,106962,107811,0,NA,106542
6,347,DEV,happy,75,0.6719444553715554,0,50.17461028219182,760,109261,110144,110444,111293,0,NA,110021
6,348,DEV,happy,68,0.7518663199496276,68,51.3592276548313,425,112543,113093,113393,114242,0,NA,112968
6,349,DEV,happy,76,0.7732902887369345,76,58.471064358246785,346,115792,116259,116558,117408,0,NA,116138
6,350,DEV,happy,77,0.7311801204751348,77,56.265679918469985,507,118658,119291,119591,120440,0,NA,119165
6,351,DEV,happy,77,0.7150855334562869,77,55.372741063143444,588,121890,122590,122889,123739,0,NA,122478
6,352,DEV,happy,68,0.7192005239801801,68,49.130651929714155,571,125089,125772,126072,126921,0,NA,125660
6,353,DEV,happy,73,0.7523707811256511,73,55.143493219903135,426,128121,128671,128971,129820,0,NA,128547
6,354,DEV,happy,76,0.7153269994254116,76,54.67099705326825,581,131270,131970,132269,133119,0,NA,131851
6,355,DEV,happy,72,0.6915518634184084,72,49.87393315529,679,134419,135219,135518,136368,0,NA,135098
6,356,DEV,happy,76,0.6915518634184084,0,52.640140608963634,684,137568,138368,138667,139517,0,NA,138252
6,357,DEV,happy,72,0.6799501962195698,0,49.26048142424725,731,140767,141617,141916,142766,0,NA,141498
6,358,DEV,happy,68,0.7653278784010338,0,51.947193835653266,379,144365,144865,145165,146015,0,NA,144744
6,359,DEV,happy,74,0.5751028785267469,74,42.69638870372271,1220,147414,148764,149064,149913,0,NA,148634
6,360,DEV,happy,71,0.5751028785267469,71,40.97108006814247,1224,151113,152463,152762,153612,0,NA,152337
6,361,DEV,happy,74,0.5913332085648879,0,43.653572758128874,1138,155062,156328,156628,157477,0,NA,156200
6,362,DEV,happy,73,0.8089642937729932,73,59.356251039077534,215,158877,159210,159510,160360,0,NA,159092
6,363,DEV,happy,69,0.7740642644420699,0,53.091195843154104,351,161909,162376,162675,163525,0,NA,162260
6,364,DEV,happy,66,0.7699433448773868,66,50.60392502045135,366,164975,165458,165758,166607,0,NA,165341
6,365,DEV,happy,71,0.8272325364534471,71,58.477187542502634,147,168107,168374,168673,169523,0,NA,168254
6,366,DEV,happy,71,0.8226396814570015,71,58.296621330462614,171,170623,170906,171206,172055,0,NA,170794
6,367,DEV,happy,65,0.8971599651591655,65,58.00376895261697,0,173355,173372,173672,174521,0,NA,173355
6,368,DEV,happy,66,0.8186013143637605,66,54.04190754453212,172,175971,176271,176571,177420,0,NA,176143
6,369,DEV,happy,71,0.8009939885700241,71,56.59842896962388,251,178820,179187,179486,180336,0,NA,179071
6,370,DEV,happy,71,0.8007292744724944,71,56.587274696233344,250,181586,181952,182252,183102,0,NA,181836
6,371,DEV,happy,65,0.897443765096706,65,58.009468407721435,0,184651,184668,184968,185817,0,NA,184651
6,372,DEV,happy,72,0.8140407364854714,72,58.76311972555576,199,187317,187634,187933,188783,0,NA,187516
6,373,DEV,happy,69,0.7920290538943918,0,54.630964205469326,285,190383,190783,191082,191932,0,NA,190668
6,374,DEV,happy,65,0.8186013143637605,65,53.22330623016836,185,193082,193382,193681,194531,0,NA,193267
6,375,DEV,happy,68,0.8971599651591655,68,60.69524884809447,0,195731,195748,196047,196897,0,NA,195731
6,376,DEV,happy,76,0.7707147116002283,76,58.34213355764978,367,198496,198980,199279,200129,0,NA,198863
6,377,DEV,happy,69,0.8370138483363965,69,58.012377154767755,118,201279,201512,201812,202661,0,NA,201397
6,378,DEV,happy,68,0.8370138483363965,68,57.17536330643136,111,203961,204195,204494,205344,0,NA,204072
