run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
8,442,DEV,scram,70,0.6976606230377035,70,48.79701624382609,651,4283,5050,5351,6199,0,NA,4934
8,443,DEV,scram,72,0.7341405022364469,72,52.75639588865602,511,7415,8049,8350,9198,0,NA,7926
8,444,DEV,scram,77,0.7097921019316389,77,54.36380135500557,601,10514,11247,11549,12397,0,NA,11115
8,445,DEV,scram,74,0.8070995831086432,74,60.081196823864346,232,13663,14013,14313,15162,0,NA,13895
8,446,DEV,scram,79,0.49180983480311735,0,39.04349207731826,1725,16529,18378,18678,19527,0,NA,18254
8,447,DEV,scram,84,0.4033201023562629,84,33.80666718914649,2429,20744,23293,23593,24442,0,NA,23173
8,448,DEV,scram,67,0.7594623548326547,67,50.93414890293513,403,25809,26342,26642,27491,0,NA,26212
8,449,DEV,scram,65,0.8164529986371865,65,53.149075871871695,170,28675,28975,29276,30124,0,NA,28845
8,450,DEV,scram,79,0.6454475011044043,79,51.24568715950312,901,31440,32457,32758,33606,0,NA,32341
8,451,DEV,scram,74,0.6948347830631422,74,51.43511996706262,656,35289,36072,36372,37221,0,NA,35945
8,452,DEV,scram,72,0.6887498860631401,72,49.7268114779719,694,38588,39404,39704,40553,0,NA,39282
8,453,DEV,scram,76,0.7192005239801801,76,54.884256121555595,564,41937,42620,42919,43769,0,NA,42501
8,454,DEV,scram,74,0.7167773519242582,74,53.31746067913223,572,45335,46035,46335,47184,0,NA,45907
8,455,DEV,scram,70,0.6948347830631422,70,48.65578083481005,660,48668,49451,49752,50600,0,NA,49328
8,456,DEV,scram,69,0.6915518634184084,69,47.79927756503477,687,52033,52833,53132,53982,0,NA,52720
8,457,DEV,scram,72,0.7133973507707729,72,51.71063602280353,593,55548,56265,56564,57414,0,NA,56141
8,458,DEV,scram,73,0.7073979448687391,73,51.40044565809832,617,58697,59431,59732,60580,0,NA,59314
8,459,DEV,scram,78,0.6762785669287148,0,52.44541585734493,742,61913,62779,63081,63929,0,NA,62655
8,460,DEV,scram,77,0.7438330326366352,77,56.94917086658963,457,65462,66045,66344,67194,0,NA,65919
8,461,DEV,scram,67,0.804706531397288,0,53.53494191943459,230,68727,69077,69377,70226,0,NA,68957
8,462,DEV,scram,78,0.654007366334459,78,51.119691034503106,847,71759,72726,73025,73875,0,NA,72606
8,463,DEV,scram,70,0.661345059811619,70,46.269917833408364,821,75108,76041,76343,77191,0,NA,75929
8,464,DEV,scram,69,0.6685427690642041,0,45.97239784266633,785,78524,79424,79725,80573,0,NA,79309
8,465,DEV,scram,75,0.7158101538552986,0,53.9818655954411,584,82106,82806,83107,83955,0,NA,82690
8,466,DEV,scram,68,0.7941318623179975,68,53.92359040354094,270,85221,85621,85921,86771,0,NA,85491
8,467,DEV,scram,73,0.7238248418663782,73,52.965473348139106,539,88304,88970,89270,90119,0,NA,88843
8,468,DEV,scram,77,0.7361198502795434,77,56.534518860082066,497,91503,92119,92419,93268,0,NA,92000
8,469,DEV,scram,77,0.7081154052513937,0,54.27017810498197,610,94551,95285,95586,96434,0,NA,95161
8,470,DEV,scram,75,0.7831380016114803,75,58.9562062523059,311,97867,98300,98600,99449,0,NA,98178
8,471,DEV,scram,75,0.7617532577259744,75,57.12541358495875,396,101132,101649,101949,102798,0,NA,101528
8,472,DEV,scram,75,0.7490967734039374,75,56.47935230232968,440,104131,104698,104997,105847,0,NA,104571
8,473,DEV,scram,75,0.7658396263248484,75,57.329999801743945,376,107330,107830,108130,108979,0,NA,107706
8,474,DEV,scram,71,0.7986138173976736,71,56.49776609233048,267,110596,110979,111279,112128,0,NA,110863
8,475,DEV,scram,72,0.7390974734552707,72,52.999855568981026,475,113811,114411,114711,115560,0,NA,114286
8,476,DEV,scram,73,0.749348200749224,73,54.99366781947033,438,116844,117410,117710,118559,0,NA,117282
8,477,DEV,scram,68,0.7620081446855638,68,51.804176072381004,398,120192,120709,121009,121858,0,NA,120590
8,478,DEV,scram,73,0.7383521024035073,73,53.70176414248809,495,123475,124091,124391,125240,0,NA,123970
8,479,DEV,scram,68,0.7294580373464798,0,49.60624595529774,531,126574,127223,127525,128373,0,NA,127105
8,480,DEV,scram,74,0.7581920324966316,74,56.187307556962246,406,129806,130339,130639,131488,0,NA,130212
8,481,DEV,scram,68,0.7627732152796785,0,51.83725322953935,390,133121,133638,133937,134787,0,NA,133511
8,482,DEV,scram,71,0.7047730399388602,71,49.85413887105463,639,136120,136870,137170,138019,0,NA,136759
8,483,DEV,scram,77,0.6936605912098266,0,53.45251426051764,673,139702,140502,140802,141651,0,NA,140375
8,484,DEV,scram,69,0.7586999551695555,0,52.41905132609531,408,143184,143718,144019,144867,0,NA,143592
8,485,DEV,scram,66,0.78888251761204,0,52.13334205693282,293,146200,146617,146918,147766,0,NA,146493
8,486,DEV,scram,80,0.5431452239923301,80,43.48509179768147,1401,149399,150932,151231,152081,0,NA,150800
8,487,DEV,scram,73,0.5468484236157027,73,39.90170891181336,1381,153714,155214,155515,156363,0,NA,155095
