run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,pushidx
8,442,DEV,scram,71,0.6746785051117886,71,47.628710730633514,749,4326,5192,5492,6341,0,NA,5075
8,443,DEV,scram,72,0.722118061044084,72,52.15545369274756,557,7558,8241,8540,9390,0,NA,8115
8,444,DEV,scram,73,0.8159165190723104,73,59.6577540555771,196,10707,11023,11323,12173,0,NA,10903
8,445,DEV,scram,75,0.8017885058121903,75,59.838999473634,238,13439,13806,14105,14955,0,NA,13677
8,446,DEV,scram,80,0.47017954733313005,0,37.594655632994204,1884,16321,18321,18620,19470,0,NA,18205
8,447,DEV,scram,70,0.8757281228982065,70,61.011599941469385,0,20703,20787,21086,21936,0,NA,20703
8,448,DEV,scram,65,0.8191389908874407,65,53.2417662714911,188,23302,23602,23902,24751,0,NA,23490
8,449,DEV,scram,68,0.7226053461324382,68,49.28967010477901,543,25935,26601,26901,27750,0,NA,26478
8,450,DEV,scram,75,0.7988780298390062,75,59.70449323351308,239,29084,29450,29750,30599,0,NA,29323
8,451,DEV,scram,71,0.7899303360924645,71,56.12361818031177,287,32282,32682,32982,33832,0,NA,32569
8,452,DEV,scram,70,0.7643051969938417,70,53.431887087310244,385,35215,35715,36014,36864,0,NA,35600
8,453,DEV,scram,75,0.7604798488055697,75,57.06125227649353,398,38247,38764,39063,39913,0,NA,38645
8,454,DEV,scram,74,0.7433333463180603,74,54.69250138830616,466,41496,42079,42379,43228,0,NA,41962
8,455,DEV,scram,69,0.7348822188747257,69,50.588341855318404,488,44711,45328,45627,46477,0,NA,45199
8,456,DEV,scram,68,0.7435831540906633,68,50.243589256538776,468,47910,48493,48793,49643,0,NA,48378
8,457,DEV,scram,71,0.7604798488055697,71,54.019332881271254,396,51226,51742,52042,52892,0,NA,51622
8,458,DEV,scram,72,0.739843486608242,72,53.03627145221577,479,54175,54775,55074,55924,0,NA,54654
8,459,DEV,scram,76,0.7440829819238175,0,56.21841809931505,452,57257,57840,58140,58989,0,NA,57709
8,460,DEV,scram,76,0.7666077564267468,76,58.13483943981884,375,60456,60956,61255,62105,0,NA,60831
8,461,DEV,scram,67,0.7954481856380818,0,53.180816536671955,264,63638,64021,64321,65171,0,NA,63902
8,462,DEV,scram,79,0.6357224577780153,79,50.00373725793119,928,66704,67753,68053,68903,0,NA,67632
8,463,DEV,scram,79,0.3194064737235394,79,25.36690111644092,3385,70136,73635,73934,74784,0,NA,73521
8,464,DEV,scram,78,0.3331018718244576,0,25.978738836238545,3206,76100,79433,79732,80582,0,NA,79306
8,465,DEV,scram,87,0.31502220183431673,0,27.266368323152776,3445,82098,85664,85963,86813,0,NA,85543
8,466,DEV,scram,82,0.3068112634314342,0,25.097858842197763,3553,88096,91762,92061,92911,0,NA,91649
8,467,DEV,scram,73,0.7158101538552986,73,52.550245287730505,576,94444,95144,95443,96293,0,NA,95020
8,468,DEV,scram,78,0.6811016637486106,78,53.40847698102413,730,97676,98526,98825,99675,0,NA,98406
8,469,DEV,scram,81,0.5578085078505726,0,45.0071203216351,1327,100892,102341,102641,103491,0,NA,102219
8,470,DEV,scram,78,0.692254083712164,78,54.06422351870231,686,104924,105723,106023,106873,0,NA,105610
8,471,DEV,scram,74,0.7925543733121576,74,58.61546811173455,277,108539,108939,109238,110088,0,NA,108816
8,472,DEV,scram,75,0.7720016639534173,75,57.63465939130306,365,111355,111838,112137,112987,0,NA,111720
8,473,DEV,scram,74,0.8049721788772533,74,59.179720577853324,224,114470,114820,115120,115969,0,NA,114694
8,474,DEV,scram,72,0.7475896816568731,72,54.158440577290456,451,117602,118169,118469,119318,0,NA,118053
8,475,DEV,scram,72,0.7388489450516734,72,52.98771077775153,503,120968,121585,121884,122734,0,NA,121471
8,476,DEV,scram,73,0.7681458426325646,73,55.908278255969584,376,124000,124500,124800,125649,0,NA,124376
8,477,DEV,scram,67,0.8009939885700241,67,53.394453015343785,250,127282,127649,127949,128798,0,NA,127532
8,478,DEV,scram,72,0.7581920324966316,72,54.67092349196898,417,130481,131015,131314,132164,0,NA,130898
8,479,DEV,scram,67,0.7579381743952129,0,50.86911241008448,404,133497,134030,134330,135179,0,NA,133901
8,480,DEV,scram,73,0.7828776346309575,73,57.37778736224653,308,136612,137046,137345,138195,0,NA,136920
8,481,DEV,scram,69,0.7333994332591003,0,50.519579970016345,516,139828,140461,140761,141610,0,NA,140344
8,482,DEV,scram,69,0.7501029027872367,69,52.0307618989847,437,142944,143510,143810,144659,0,NA,143381
8,483,DEV,scram,76,0.7297038318614706,0,55.455144097654895,528,146342,146992,147292,148142,0,NA,146870
